Adresse;Art der Ermittlung;Bombentyp;Gewicht;Herkunft;Koordinate1;Koordinate2
Köln, Neubrücker Ring 18;Flächenüberprüfung;GP;125 kg;amerikanisch;363984,44;5644572,08
Köln, Neubrücker Ring 18;Verdachtspunkt aus Luftbildauswertung;Zerscheller;50 kg;;364027,4;5644526,34
Köln, Neubrücker Ring 18;Verdachtspunkt aus Luftbildauswertung;Zerscheller;50 kg;;364038,35;5644513,38
Köln, Neubrücker Ring 18;Verdachtspunkt aus Luftbildauswertung;Zerscheller;50 kg;;364067,93;5644539,36
Duisburg, Rheindeich Str. Nähe Hs. 181;Baustellenfund;GP;250 kg;britisch;339307,64;5704706,24
Köln, In der Westhovener Aue, Kaserne Braseur;Baustellenfund;GP;125 kg;amerikanisch;360191,12;5641185,59
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;GP;250 kg;britisch;335655,6;5704722,57
Düsseldorf, Schwannstr.;Baustellenfund;Demo;250 kg;amerikanisch;344663,16;5679958,46
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;335689,73;5704688,13
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;MC;500 kg;britisch;335709,04;5704643,67
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;Demo;125 kg;amerikanisch;335652,9;5704615,65
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;MC;500 kg;britisch;335676;5704630,93
Essen, Birkenstr. 3;Baustellenfund;MC;250 kg;britisch;362426,81;5699576,59
Köln, Siegburger Str. 241;Flächenüberprüfung;GP;50 kg;amerikanisch;358246,8;5643267,27
Köln, Kantstr. 3;Flächenüberprüfung;GP;250 kg;britisch;359998,62;5644662,3
Pulheim, Brunnenstr. (Fa. Amprion);Baustellenfund;GP;250 kg;britisch;346091,87;5647486,17
Köln, Güterbahnhof Bauvorhaben Instandhaltungswerk ICE;Baustellenfund;MC;250 kg;britisch;354680,35;5649331,45
Oberhausen, Vestische Str.;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;352919,17;5707944,43
Oberhausen, Rothofstr.;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;350560,97;5707790,33
Köln, Josef-Kallscheuer-Str.;Verdachtspunkt aus Luftbildauswertung;Zerscheller;50 kg;amerikanisch;359306,7;5637118,32
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Verdachtspunkt aus Luftbildauswertung;Demo;250 kg;amerikanisch;335685,45;5704796,23
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;GP;250 kg;britisch;335642,42;5704797,21
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;MC;250 kg;britisch;335549,65;5704890,45
Kamp-Lintfort, Kummenweg (Kiesbaggerei);Baustellenfund;GP;250 kg;britisch;331461,2;5709888,32
Düsseldorf, Theodorstr. 90-100;Baustellenfund;GP;250 kg;britisch;346641,08;5682748,52
Erftstadt, Gemarkung Lechenich Fl. 39 Fl.St. 2 bis 15 u. 56;Flächenüberprüfung;MC;250 kg;britisch;5632645,66;344069,78
Essen, Breilsrand;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;357710,39;5701885,4
Duisburg, Neuenhofstr. 2;Baustellenfund;GP;250 kg;britisch;343963,84;5695968,76
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;GP;250 kg;britisch;335662,81;5705060,5
Moers, Bebauungsplan Nr. 300 - Nahversorgungszentrum Utfort;Flächenüberprüfung;GP;250 kg;britisch;335627,63;5705060,5
Solingen, Burger Landstr.;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;368671,27;5668770,5
Köln, Merrillweg 12, Köln-Hahnwald;Verdachtspunkt aus Luftbildauswertung;GP;125 kg;amerikanisch;358012,14;5637494,36
Köln Mülheim;Baustellenfund;SD;250 kg;deutsch;0;0
Mülheimerfreiheit;Baustellenfund;SD;250 kg;deutsch;0;0
RWE - Power, Bagger 255;Baustellenfund;Demo;250 kg;amerikanisch;0;0
Köln, Butzweilerhofallee/Rudi-Conin-Str.;Flächenüberprüfung;GP;125 kg;britisch;5650206,77;352050,39
Krefeld, Haferkamp 5;Verdachtspunkt aus Luftbildauswertung;Demo;250 kg;amerikanisch;333276,29;5688923,2
Düren, Kleine Zenthofstr. (Hinterhof);Baustellenfund;SAP;500 kg;amerikanisch;322686,47;5631020,23
Kefeld, Grüner Dyk;Baustellenfund;MC;250 kg;britisch;330670,28;5690747,23
Köln, Butzweilerhofallee/Rudi-Conin-Str.;Flächenüberprüfung;GP;125 kg;britisch;5650205,21;352041,83
Köln, Butzweilerhofallee/Rudi-Conin-Str.;Flächenüberprüfung;GP;50 kg;amerikanisch;5650247,89;352018,16
Uedem, Bebauungsplan 10e (Gewerbegebiet südlich Molkereistraße);Flächenüberprüfung;MC;250 kg;britisch;311388,44;5726343,18
Köln, Longericher Str., IC-Werk Nippes;Baustellenfund;MC;500 kg;britisch;5649904,32;354046,68
Kleve, Ackerstraße 95;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;301500,36;5740420,61
"Monheim am Rhein, Rheinpromenade, B-Plan 136 M ""Stadteingang""";Baustellenfund;MC;250 kg;britisch;351876,02;5663036,26
Köln-Zollstock, Neuenahrer Str. 5;Baustellenfund;MC;250 kg;britisch;356138,42;5641414,87
Wesel, Bundesstraße B58;Verdachtspunkt aus Luftbildauswertung;Demo;250 kg;amerikanisch;336044,99;5724773,14
Köln Kapitalstrasse 23;Baustellenfund;MC;250 kg;britisch;359778,97;5645131,5
Düsseldorf, Ikarusstr.;Verdachtspunkt aus Luftbildauswertung;GP;250 kg;britisch;342529,17;5683277,59
Erkelenz, TGB Gatzweiler Vorfeld (Borschemich);Baustellenfund;GP;250 kg;amerikanisch;0;0
Krefeld, Dreikönigenstr. 54;Baustellenfund;GP;250 kg;britisch;330590,3037;5689377,697
Erkelenz,Vorfeld TGB Garzweiler;Baustellenfund;MC;500 kg;britisch;0;0
Köln-Gremberghoven, Cheruskerstr.;Verdachtspunkt aus Luftbildauswertung;GP;250 kg;britisch;363347,64;5640527,53
Duisburg,Vogelsangplatz 7;Baustellenfund;GP;250 kg;britisch;344813,0019;5696723
Duisburg, Hochstr.;Verdachtspunkt aus Luftbildauswertung;Demo;500 kg;amerikanisch;339462,34;5699116,64
Essen, Stoppenberger Bach;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;amerikanisch;363014,29;5704742,67
Köln Butzweilerhofallee;Flächenüberprüfung;GP;125 kg;britisch;5650242,66;3525051,1
Köln, Konrad-Adenauer-Ufer 115;Verdachtspunkt aus Luftbildauswertung;Zerscheller;unbestimmt;amerikanisch;357657,09;5646814,33
Köln, Viktor-Schnitzler-Str. 39;Baustellenfund;GP;50 kg;amerikanisch;351965,15;5642948,15
Troisdorf, Mendener Str., Bahnbrücke;Baustellenfund;Brandbombe;250 kg;deutsch;370139,3;5629036,7
Oberhausen, Kurfürstenstr.;Baustellenfund;Demo;250 kg;britisch;346879,27;5709868,08
Kamp-Lintfort, Kummensteg (Kiesbaggerei);Baustellenfund;GP;250 kg;britisch;331485,78;5709846,16
Kevelaer, Hüls 13;Verdachtspunkt aus Luftbildauswertung;GP;125 kg;amerikanisch;308430,69;5717759,73
Köln, Industriepark nördl. Geestemünder Str.;Flächenüberprüfung;GP;500 kg;amerikanisch;355315,98;5652497,08
Kevelaer, Hüls 13;Verdachtspunkt aus Luftbildauswertung;GP;125 kg;amerikanisch;308408,15;5717761,24
Neuss, Bataverstr.;Baustellenfund;Demo;500 kg;amerikanisch;338547,06;5678036,28
Essen, Milendonkweg 1;Baustellenfund;GP;125 kg;amerikanisch;359310,3955;5704406,795
Monheim am Rhein, Rabenstr.  B-Plan 64M;Flächenüberprüfung;GP;250 kg;amerikanisch;353112,95;5662686,07
Neuss, Weißenberger Str. 23;Baustellenfund;SAP;500 kg;amerikanisch;338050,53;5675471,07
NRW, Oberhausen-West, Abwasserkanal Emscher;Baustellenfund;MC;250 kg;britisch;347137;5709869
Düren, Marienstraße;Baustellenfund;INC;250 kg;britisch;0;0
Essen, Förderstr. 60;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;360203,79;5706584,78
Rees, Deichstraße;Baustellenfund;SD;50 kg;deutsch;0;0
Oberhausen, Mellinghofer Str.;Verdachtspunkt aus Luftbildauswertung;MC;500 kg;amerikanisch;353286,69;5704985,53
Oberhausen, Mellinghofer Str.;Verdachtspunkt aus Luftbildauswertung;SAP;500 kg;amerikanisch;353329,71;5704998,37
Essen, Meisenburgstr.;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;360193,29;5697695,14
Essen, Eifelhang 8;Verdachtspunkt aus Luftbildauswertung;GP;250 kg;britisch;359366,48;5696738,27
Grevenbroich, Zum Türling;Verdachtspunkt aus Luftbildauswertung;GP;250 kg;britisch;330954,25;5663388,8
Grevenbroich, Zum Türling;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;330950,75;5663421,45
Grevenbroich, Zum Türling;Verdachtspunkt aus Luftbildauswertung;GP;250 kg;amerikanisch;330937,75;5663454,31
Köln-Dellbrück, Hyazinthenweg;Baustellenfund;Zerscheller;125 kg;amerikanisch;364177,08;5649939,91
Düsseldorf, Merziger Str.;Baustellenfund;Demo;250 kg;amerikanisch;345562,9802;5679977,439
Krefeld, Herbertzstr. 91A;Baustellenfund;GP;250 kg;amerikanisch;332587;5688807
Leverkusen, Bismarkstr./Brücke über die Dhünn;Baustellenfund;MC;500 kg;britisch;360095,35;5655869,84
Köln, Isenburger Kirchweg/ Burgwiesenstr.;Verdachtspunkt aus Luftbildauswertung;Zerscheller;50 kg;amerikanisch;362375,25;5647992,3
Erftstadt Bebauungsplan Nr 184 Liblar- Dechant-Linden Weg;Flächenüberprüfung;Frag;125 kg;amerikanisch;345541,1;5631221,4
Essen, Scheppmannskamp 6;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;amerikanisch;356499,42;5706946,74
Oberhausen, Bahnstr.;Baustellenfund;MC;250 kg;britisch;346894,447;57108508,69
Oberhausen, Holtener Feld;Baustellenfund;MC;250 kg;britisch;347022,7;5710158,99
Flughafen Köln/Bonn;Flächenüberprüfung;GP;250 kg;amerikanisch;367859,34;5636326,41
Wesel, B 58 N (Schillwiese);Flächenüberprüfung;MC;250 kg;britisch;335981,55;5724839,2
Voerde, Frankforter Straße 399;Baustellenfund;MC;250 kg;britisch;338754,68;5718041,79
Düren Marienstrasse;Baustellenfund;Brandbombe;250 kg;amerikanisch;322913,39;5631108,76
Oberhausen,Holtener Feld;Flächenüberprüfung;GP;250 kg;britisch;347011,37;5709851,68
Oberhausen,Holtener Feld;Flächenüberprüfung;MC;250 kg;britisch;346999,81;5710285,43
Wuppertal, Düsseldorfer Straße;Baustellenfund;GP;250 kg;britisch;363529,58;5679490,07
Duisburg, Schifferstr.;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;344489,09;5701070,6
"Düren, B-Plan Nr. 7/380 ""Derichsweiler-Ost""";Flächenüberprüfung;GP;125 kg;amerikanisch;318810,59;5630055,14
"Düren, B-Plan Nr. 7/380 ""Derichsweiler-Ost""";Flächenüberprüfung;GP;125 kg;amerikanisch;318831,87;5630229,48
Duisburg, Radwegeverbindung Ruhrdeich (47058 Duisburg);Verdachtspunkt aus Luftbildauswertung;SAP;500 kg;amerikanisch;345175,52;5701874,89
Essen, Baumstr.;Baustellenfund;GP;250 kg;britisch;361626,65;5700802,19
Essen, Sälzerbach/Jahnplatz;Verdachtspunkt aus Luftbildauswertung;Demo;250 kg;amerikanisch;359682,92;5703742,62
Kevelaer, Hüls 13;Verdachtspunkt aus Luftbildauswertung;GP;125 kg;amerikanisch;308440,85;5717758,86
Wesel, Kreuzstraße 50;Baustellenfund;MC;250 kg;britisch;335134,06;5725330,73
Solingen, Roggenkamp;Verdachtspunkt aus Luftbildauswertung;MC;250 kg;britisch;364862,28;5674926,68
Essen, Helenenstraße 110;Baustellenfund;GP;500 kg;amerikanisch;360115,42;5703869,36
Köln Godorf Godorfer Hauptstr. 79;Baustellenfund;MC;250 kg;britisch;351451,37;5635061,16
Duisburg.Borgschenweg 4;Verdachtspunkt aus Luftbildauswertung;Demo;250 kg;amerikanisch;338335,18;5696714,71
Köln - Ingeborgstr 15;Verdachtspunkt aus Luftbildauswertung;GP;125 kg;amerikanisch;361535,21;5640943,55
Kevelaer, Bebauungsplan 85 Hüls;Flächenüberprüfung;GP;500 kg;amerikanisch;308481,19;5717475,01
Kranenburg.Hövel;Baustellenfund;Frag;125 kg;amerikanisch;0;0
